Employer,Employer Industry,Description,Website,Job Titles,Combined Majors
CoreLogic,Real Estate,"At CoreLogic our mission is to empower our clients to make smarter decisions through data-driven insights. As the leading global property information, analytics and data-enabled solutions provider, our vision is to deliver unique property-level insights that power the global real estate economy. We work together as one company, putting clients first, focused on finding better ways to meet their needs, demonstrating ownership through initiative, accountability, respect, trust, transparency, and collaboration.",http://www.CoreLogic.com,None,
ARCO,Construction,"ARCO is a nationally ranked design-build leader in the construction industry, and our exemplary work requires the best talent. We are looking for Intern, Co-op, and Entry-level candidates interested in acquiring hands-on experience in a high-energy culture where you will be a valued team member contributing to extraordinary construction projects.  You'll be highly involved in various project types and gain in-depth knowledge in project management, structural engineering, safety, architecture, and technology. Are you ready for a best-in-class experience with a design-build leader in a work hard/play hard culture? ARCO's unique opportunities will complement your degree and prepare you to hit the ground running upon graduation. Apply today!",https://thearcoway.com/,None,"Civil Engineering, Computational Hydroscience, Environmental Engineering, Major - Mechanical Engineering, Manufacturing, Mechanical Engineering"
Central Service Association,Internet & Software,"What began as a billing service has grown into an association offering a very comprehensive range of modern, computerized information systems to assist in all areas of utility operations and management. Utilities are our only business, and the employees of CSA are dedicated to meeting the needs and challenges of this dynamic industry. Today, our Orbit customer, financial and work management systems represent the latest technology and the greatest value in the IT arena. In addition, the Association offers UtiliTrak GIS/mapping software, professional and consulting services, networking, Internet services, hardware and software sales, related supplies and printed forms, employee benefit plans, and other assistance for public utilities.",http://www.csa1.com,"Information Systems Representative, Software Developer",
"TTL, Inc.",Civil Engineering,"Founded in 1964, TTL is an engineering design firm focused on delivering integrated infrastructure solutions for public and private clients. From site and corridor selection to due diligence, design, and construction services, TTL is your trusted partner providing single-sourced custom solutions for complex infrastructure development. With more than 400 team members across the Southern United States, TTL provides a wide range of services, including civil, transportation, and geotechnical engineering; environmental consulting; testing, inspection, and observation of construction materials; and surveying.",http://www.ttlusa.com,"Civil Engineer Intern, Graduate Civil Engineer",
Kimley-Horn,Civil Engineering,"Ranked as one of Fortune Magazine’s “100 Best Companies to Work For,"" Kimley-Horn prides itself on hiring high-achieving, dedicated, and reliable professionals. With staff in over 100 offices nationwide, we are one of the nation's premier engineering planning and design consulting firms. We offer services to the private and public sectors in a wide range of disciplines including land development, transportation planning, traffic operations, roadway design, structural services, water resources, and much more!

Interested in learning more?  Follow the link below to find out when we will be visiting a campus near you, or sign up for a virtual information session! 

Check it out: https://kimleyhorn.yello.co/external/events_central

",http://www.kimley-horn.com,None,"Civil Engineering, Computational Hydroscience, Electrical Engineering, Environmental Engineering, Major - Mechanical Engineering, Mechanical Engineering"
"USACE, Vicksburg District",Civil Engineering,"Federal employer looking for a variety of engineering disciplines, computer science, and architecture interns and cooperative students ",https://www.mvk.usace.army.mil/,Engineers,
SLB,Energy,"We are a global technology company driving energy innovation for a balanced planet.

Global in outlook, local in practice, we're united in our passion for discovering solutions and in our commitment to creating a sustainable and balanced future. We set the bar high. So we're looking for talented, driven people committed to innovation and success and who act with integrity.

We'll give you a platform to develop both professionally and personally, supported by our community of colleagues, co-workers, alumni, and our valued external partners. It's a deep collaboration that enables us all to achieve our goals.

Come and be part of one of the words most diverse and inclusive groups of industry experts.

http://careers.slb.com",http://careers.slb.com,Various Positions,"Aeroacoustics, Chemical Engineering, Civil Engineering, Computational Hydroscience, Computer Engineering, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, General Engineering, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering"
CenterPoint Energy,Utilities and Renewable Energy,"CenterPoint Energy and its predecessor companies have been in business for more than 150 years. Our vision to lead the nation in delivering energy, service and value drives our strategy and performance. We have an unwavering commitment to safely and reliably deliver electricity and natural gas to over 7 million metered customers.",http://www.centerpointenergy.com/en-us/,None,"Business Administration, Chemical Engineering, Civil Engineering, Computational Hydroscience, Computer Engineering, Electrical Engineering, Environmental Engineering, Global Supply Chain Mgmt., Human Resource Management, Major - Mechanical Engineering, Management, Manufacturing, Mechanical Engineering"
C Spire,Telecommunications,"C Spire is a diversified telecommunications and technology service company and the nation's largest privately held wireless communications provider. Its primary service area is in the Southeastern U.S., with headquarters in Ridgeland, Mississippi, and a workforce of over 1,900. C Spire provides a superior comprehensive suite of wireless, home, and business solutions through its world-class 5G network and +10k miles of fiber. The company operates retail locations, call centers, and multiple data centers throughout Mississippi, Alabama, and Tennessee.",http://www.cspire.com,None,"Accountancy, Banking and Finance, Business, Business (15 hours), Business Administration, Business Studies, Business Studies Option 1, Computer Engineering, Computer Science, Concentration - Math, Digital Communications, Digital Marketing Strategy, Digital Media Studies, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, General Business, General Engineering, General Program, General Studies, General Studies Undecided, Human Resource, Human Resource Management, Integrated Marketing and Communications, Integrated Marketing Comm, Integrated Marketing Communicat, Integrated Marketing Communications, Integrated Mktg. Communication, Management, Management Information Systems, Marketing, Marketing and Commun. Strategy, Marketing & Corporate Relations, Specialization - Public Relations, Specialization - Visual Design, Taxation and Data Analytics, Telecommunications"
Garver,Civil Engineering,"Founded in 1919, Garver is an employee-owned multidisciplined engineering, planning, and environmental services firm with more than 1,200 employees across the United States. Offering a wide range of services focused on aviation, buildings, construction, enterprise solutions, federal, survey, transportation, water, and wastewater, Garver sits in the top 125 of the Engineering News-Record's prestigious Top 500 Design Firms list and is consistently recognized as a best firm to work for. Learn more at GarverUSA.com.",https://garverusa.com/,Summer 2024 Internship Opportunities ,Civil Engineering
Cooperative Energy,Utilities and Renewable Energy,"Cooperative Energy serves as the only not-for-profit wholesale electric power provider headquartered in Mississippi. In this role, Cooperative Energy generates and transmits electricity for 11 Member distribution systems located in the southern and western portions of the state. Cooperative Energy and its 11 Member cooperatives provide power to 432,000 homes and businesses across the state.",http://Www.CooperativeEnergy.com,"Coop Student, Full time engineering roles","Chemical Engineering, Civil Engineering, Computational Hydroscience, Electrical Engineering, Environmental Engineering, Major - Mechanical Engineering, Mechanical Engineering"
Hol-Mac Corporation,Manufacturing,"Hol-Mac combines world class manufacturing, fabrication, engineering, and technology expertise with a corporate culture of service and integrity. We are comprised of 900+ engineers, craftsmen, machinist, and Corporate professionals. 7 facilities, 3 locations around the state of Mississippi. 8 independent brands, offering 50+ specialized products. 
Hol-Mac is a diverse team of manufacturing, engineering and corporate professionals committed to living our values and advancing our customers, our communities, and our people. Our wide range of training and development opportunities provide recent graduates with the scope, challenge, and diverse experience necessary to build a foundation for professional achievement. 
",http://www.hol-mac.com,"Marketing Intern, Sales Representative, Production Supervisor, Engineering Technicians, Mechanical Engineers, Electrical Engineers","Computational Hydroscience, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, General Engineering, Major - Mechanical Engineering, Math for School of Engineering, Mechanical Engineering"
"D C Services, LLC",Construction,"D C Services, LLC is an Oxford based commercial construction company.  Projects include site work, medical offices, government buildings and much more.",https://www.dcs-build.com,None,
